"","Docket","Term","Circuit","Issue","Petitioner","Respondent","LowerCourt","Unconst","Reverse"
"1","93-1408",1994,"2nd","EconomicActivity","BUSINESS","BUSINESS","liberal",0,1
"3","93-1612",1994,"5th","EconomicActivity","BUSINESS","BUSINESS","liberal",0,1
"4","94-623",1994,"1st","EconomicActivity","BUSINESS","BUSINESS","conser",0,1
"6","95-129",1995,"9th","EconomicActivity","BUSINESS","BUSINESS","conser",1,0
"8","96-1768",1997,"9th","EconomicActivity","BUSINESS","BUSINESS","conser",1,1
"21","97-1704",1998,"5th","JudicialPower","INJURED.PERSON","BUSINESS","liberal",1,0
"32","93-1631",1994,"10th","FirstAmendment","OTHER","BUSINESS","liberal",0,0
"36","94-1654",1995,"10th","EconomicActivity","OTHER","BUSINESS","liberal",0,0
"40","95-1065",1996,"2nd","FirstAmendment","OTHER","BUSINESS","liberal",1,0
"42","95-1521",1996,"DC","JudicialPower","OTHER","BUSINESS","liberal",0,1
"46","96-511",1996,"3rd","FirstAmendment","OTHER","BUSINESS","liberal",0,0
"47","96-1470",1997,"9th","EconomicActivity","OTHER","BUSINESS","conser",0,1
"53","97-1130",1998,"FED","EconomicActivity","OTHER","BUSINESS","liberal",0,0
"55","97-1642",1998,"9th","EconomicActivity","OTHER","BUSINESS","liberal",0,1
"59","98-1152",1999,"4th","EconomicActivity","OTHER","BUSINESS","conser",0,1
"60","99-579",1999,"7th","EconomicActivity","OTHER","BUSINESS","conser",0,1
"66","99-1871",2000,"9th","Privacy","OTHER","BUSINESS","conser",0,0
"67","99-901",2000,"6th","JudicialPower","OTHER","BUSINESS","conser",0,1
"68","00-1307",2001,"4th","CivilRights","OTHER","BUSINESS","conser",0,1
"72","94-251",1994,"9th","FederalismAndInterstateRelations","US","BUSINESS","liberal",0,1
"79","00-151",2000,"9th","CriminalProcedure","US","BUSINESS","liberal",0,1
"80","99-1434",2000,"FED","FederalismAndInterstateRelations","US","BUSINESS","liberal",0,0
"87","94-1988",1996,"1st","FederalismAndInterstateRelations","OTHER","CITY","conser",1,1
"88","99-936",2000,"4th","CriminalProcedure","OTHER","CITY","conser",1,1
"92","96-318",1996,"6th","EconomicActivity","EMPLOYEE","CRIMINAL.DEFENDENT","liberal",0,0
"95","94-790",1994,"3rd","CriminalProcedure","OTHER","CRIMINAL.DEFENDENT","liberal",0,0
"102","94-1511",1995,"9th","JudicialPower","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"106","97-215",1997,"9th","JudicialPower","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"110","97-2048",1998,"7th","JudicialPower","STATE","CRIMINAL.DEFENDENT","liberal",0,0
