"","Docket","Term","Circuit","Issue","Petitioner","Respondent","LowerCourt","Unconst","Reverse"
"2","93-1577",1994,"9th","EconomicActivity","BUSINESS","BUSINESS","liberal",0,1
"5","94-1175",1995,"7th","JudicialPower","BUSINESS","BUSINESS","conser",0,1
"7","95-728",1996,"FED","EconomicActivity","BUSINESS","BUSINESS","conser",0,1
"9","96-843",1997,"DC","EconomicActivity","BUSINESS","BUSINESS","conser",0,1
"10","98-1480",1999,"11th","CriminalProcedure","BUSINESS","BUSINESS","conser",0,1
"11","99-150",1999,"2nd","EconomicActivity","BUSINESS","BUSINESS","conser",0,1
"12","99-1571",2000,"6th","EconomicActivity","BUSINESS","BUSINESS","conser",1,1
"13","99-2035",2000,"9th","DueProcess","BUSINESS","BUSINESS","liberal",1,1
"14","94-788",1994,"7th","EconomicActivity","CITY","BUSINESS","liberal",0,0
"15","98-1161",1999,"3rd","FederalismAndInterstateRelations","CITY","BUSINESS","liberal",0,0
"16","96-491",1996,"9th","EconomicActivity","EMPLOYEE","BUSINESS","conser",0,1
"17","97-1943",1998,"10th","CivilRights","EMPLOYEE","BUSINESS","conser",0,1
"18","98-208",1998,"DC","EconomicActivity","EMPLOYEE","BUSINESS","conser",0,1
"19","00-1853",2001,"2nd","CivilRights","EMPLOYEE","BUSINESS","conser",0,1
"20","95-1872",1996,"8th","CivilRights","AMERICAN.INDIAN","BUSINESS","conser",0,0
"22","97-53",1998,"6th","JudicialPower","INJURED.PERSON","BUSINESS","conser",0,1
"23","98-1811",1999,"DC","FederalismAndInterstateRelations","INJURED.PERSON","BUSINESS","liberal",0,1
"24","99-161",1999,"8th","JudicialPower","INJURED.PERSON","BUSINESS","conser",1,0
"25","94-1244",1995,"9th","JudicialPower","GOVERNMENT.OFFICIAL","BUSINESS","conser",0,0
"26","95-244",1995,"9th","JudicialPower","GOVERNMENT.OFFICIAL","BUSINESS","liberal",0,0
"27","97-930",1998,"10th","FirstAmendment","GOVERNMENT.OFFICIAL","BUSINESS","liberal",0,0
"28","00-152",2000,"9th","JudicialPower","GOVERNMENT.OFFICIAL","BUSINESS","liberal",0,1
"29","99-1792",2000,"8th","EconomicActivity","GOVERNMENT.OFFICIAL","BUSINESS","conser",0,1
"30","93-1251",1994,"6th","JudicialPower","OTHER","BUSINESS","liberal",0,1
"31","93-1318",1994,"9th","FederalTaxation","OTHER","BUSINESS","liberal",0,1
"33","93-1677",1994,"8th","EconomicActivity","OTHER","BUSINESS","conser",0,1
"34","94-18",1994,"7th","EconomicActivity","OTHER","BUSINESS","conser",0,1
"35","94-1592",1995,"7th","Unions","OTHER","BUSINESS","conser",0,0
"37","95-26",1995,"FED","EconomicActivity","OTHER","BUSINESS","conser",1,0
"38","95-83",1995,"9th","JudicialPower","OTHER","BUSINESS","liberal",0,1
"39","95-860",1995,"9th","EconomicActivity","OTHER","BUSINESS","conser",0,0
"41","95-1184",1996,"9th","FirstAmendment","OTHER","BUSINESS","liberal",0,1
"43","95-1764",1996,"9th","EconomicActivity","OTHER","BUSINESS","conser",0,1
"44","95-1873",1996,"11th","DueProcess","OTHER","BUSINESS","conser",1,0
"45","95-789",1996,"9th","JudicialPower","OTHER","BUSINESS","conser",0,1
"48","96-1578",1997,"5th","JudicialPower","OTHER","BUSINESS","conser",0,1
"49","96-1971",1997,"5th","CriminalProcedure","OTHER","BUSINESS","liberal",1,1
"50","96-871",1997,"7th","EconomicActivity","OTHER","BUSINESS","conser",0,1
"51","97-5310",1997,"11th","EconomicActivity","OTHER","BUSINESS","conser",0,0
"52","97-704",1997,"DC","JudicialPower","OTHER","BUSINESS","conser",0,0
"54","97-1536",1998,"9th","CivilRights","OTHER","BUSINESS","liberal",0,1
"56","98-470",1998,"5th","JudicialPower","OTHER","BUSINESS","conser",0,1
"57","98-531",1998,"FED","EconomicActivity","OTHER","BUSINESS","liberal",1,0
"58","98-1109",1999,"7th","JudicialPower","OTHER","BUSINESS","liberal",0,0
"61","00-276",2000,"6th","EconomicActivity","OTHER","BUSINESS","liberal",0,0
"62","00-347",2000,"10th","EconomicActivity","OTHER","BUSINESS","liberal",0,0
"63","99-1257",2000,"DC","EconomicActivity","OTHER","BUSINESS","conser",0,1
"64","99-1551",2000,"4th","JudicialPower","OTHER","BUSINESS","conser",0,1
"65","99-1815",2000,"6th","JudicialPower","OTHER","BUSINESS","conser",0,1
"69","00-927",2001,"5th","Unions","OTHER","BUSINESS","conser",0,1
"70","95-1918",1996,"8th","JudicialPower","STATE","BUSINESS","liberal",0,1
"71","93-723",1994,"9th","JudicialPower","US","BUSINESS","liberal",0,0
"73","94-1893",1995,"4th","FirstAmendment","US","BUSINESS","liberal",0,1
"74","95-865",1995,"FED","JudicialPower","US","BUSINESS","liberal",0,0
"75","97-454",1997,"6th","EconomicActivity","US","BUSINESS","conser",0,1
"76","97-2044",1998,"FED","FederalismAndInterstateRelations","US","BUSINESS","liberal",0,1
"77","98-131",1998,"DC","EconomicActivity","US","BUSINESS","conser",0,0
"78","98-1682",1999,"3rd","EconomicActivity","US","BUSINESS","liberal",0,0
"81","95-191",1995,"7th","FirstAmendment","BUSINESS","CITY","conser",1,1
"82","99-1680",2000,"FED","FirstAmendment","BUSINESS","CITY","conser",1,0
"83","00-1249",2001,"7th","FirstAmendment","BUSINESS","CITY","conser",1,0
"84","95-897",1996,"8th","Unions","EMPLOYEE","CITY","conser",0,0
"85","96-957",1997,"11th","DueProcess","INJURED.PERSON","CITY","conser",0,1
"86","97-501",1997,"7th","CriminalProcedure","INJURED.PERSON","CITY","conser",1,0
"89","94-1614",1995,"2nd","JudicialPower","STATE","CITY","liberal",0,1
"90","00-860",2001,"2nd","JudicialPower","BUSINESS","CRIMINAL.DEFENDENT","liberal",0,0
"91","97-1121",1998,"7th","DueProcess","CITY","CRIMINAL.DEFENDENT","liberal",0,0
"93","95-1352",1996,"9th","DueProcess","GOVERNMENT.OFFICIAL","CRIMINAL.DEFENDENT","liberal",0,1
"94","93-1462",1994,"9th","CriminalProcedure","OTHER","CRIMINAL.DEFENDENT","liberal",0,0
"96","96-1693",1997,"8th","CriminalProcedure","OTHER","CRIMINAL.DEFENDENT","liberal",0,0
"97","96-1769",1997,"6th","DueProcess","OTHER","CRIMINAL.DEFENDENT","conser",0,0
"98","97-634",1997,"3rd","DueProcess","OTHER","CRIMINAL.DEFENDENT","liberal",1,0
"99","00-853",2001,"2nd","DueProcess","OTHER","CRIMINAL.DEFENDENT","liberal",0,1
"100","93-1660",1994,"9th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"101","93-1911",1994,"9th","DueProcess","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"103","95-566",1995,"9th","DueProcess","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"104","95-1268",1996,"4th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"105","95-891",1996,"6th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"107","97-300",1997,"9th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"108","97-391",1997,"9th","DueProcess","STATE","CRIMINAL.DEFENDENT","liberal",1,1
"109","97-1147",1998,"8th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"111","98-184",1998,"10th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",1,0
"113","98-1036",1999,"7th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"115","98-1170",1999,"2nd","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,1
"116","98-1299",1999,"2nd","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,1
"117","98-1441",1999,"9th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
"118","98-1993",1999,"11th","CriminalProcedure","STATE","CRIMINAL.DEFENDENT","liberal",0,0
