name,city,state,adm_rate,undergrads,cost,compl_4,median_hh_inc,median_earnings
Alabama A & M University,Normal,AL,0.6538,4505,20809,0.1104,49720.22,29900
University of Alabama at Birmingham,Birmingham,AL,0.6043,11269,22232,0.3173,55735.22,40200
University of Alabama in Huntsville,Huntsville,AL,0.812,5829,20999,0.1848,58688.62,45600
Alabama State University,Montgomery,AL,0.4639,4740,18100,0.1216,46065.2,26700
The University of Alabama,Tuscaloosa,AL,0.5359,31005,27205,0.4135,57928.41,42700
Auburn University at Montgomery,Montgomery,AL,0.7871,4142,18665,0.0673,50723.81,33500
Auburn University,Auburn,AL,0.7766,21551,29164,0.4431,59005.4,47100
Birmingham Southern College,Birmingham,AL,0.5306,1346,46730,0.5307,64789.39,45600
Concordia College Alabama,Selma,AL,0.4034,379,27036,0.0179,38220.7,20600
Faulkner University,Montgomery,AL,0.573,2282,30539,0.0938,52330.99,35900
Herzing University-Birmingham,Birmingham,AL,0.9541,360,26546,0,46871.43,40300
Huntingdon College,Montgomery,AL,0.5769,1160,33434,0.2447,54037.99,36800
Jacksonville State University,Jacksonville,AL,0.6665,6625,20030,0.1123,48389.27,35000
Judson College,Marion,AL,0.6292,373,29742,0.3971,46522.29,27800
University of West Alabama,Livingston,AL,0.7347,1913,17848,0.1208,40238.44,36200
University of Mobile,Mobile,AL,0.6051,1437,32349,0.3333,51833.34,35000
University of Montevallo,Montevallo,AL,0.7001,2553,22840,0.2127,59047.15,33100
University of North Alabama,Florence,AL,0.58,5698,16135,0.1147,48189.09,36400
Oakwood University,Huntsville,AL,0.4749,1687,35546,0.236,60906.45,32200
Samford University,Birmingham,AL,0.933,3145,42270,0.589,69602.13,46300
University of South Alabama,Mobile,AL,0.7816,11379,19654,0.1426,51919.71,37000
Spring Hill College,Mobile,AL,0.4132,1347,45489,0.4282,59048.32,42400
Southeastern Bible College,Birmingham,AL,1,151,18988,0.08,57076.95,31600
Stillman College,Tuscaloosa,AL,0.5659,843,26466,0.104,46186.31,27200
Troy University,Troy,AL,0.9187,14065,17898,0.1527,49132.68,35800
Tuskegee University,Tuskegee,AL,0.5296,2486,34354,0.1788,54155.29,35300
University of Alaska Anchorage,Anchorage,AK,0.706,12348,14476,0.0883,72116.59,43300
University of Alaska Fairbanks,Fairbanks,AK,0.731,5432,16025,0.1535,65084.81,37100
University of Alaska Southeast,Juneau,AK,0.4891,1372,18474,0.086,73622.06,36800
Alaska Pacific University,Anchorage,AK,0.3891,254,31435,0.4211,70542.98,39000
Arizona State University-Tempe,Tempe,AZ,0.8291,41222,23440,0.4526,69074.33,45400
University of Arizona,Tucson,AZ,0.7643,32964,23996,0.4308,64708.31,45800
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,0.7914,2193,47148,0.3899,66671.2,62400
Grand Canyon University,Phoenix,AZ,0.432,42444,31131,0.2242,62877.37,49200
ITT Technical Institute-Tempe,Tempe,AZ,0.9539,379,27463,0.3333,55113.76,38800
Northern Arizona University,Flagstaff,AZ,0.7706,24992,24693,0.3326,59985.62,39300
Prescott College,Prescott,AZ,0.7043,397,38597,0.1594,62739.99,32500
Arizona Christian University,Phoenix,AZ,0.5123,644,34794,0.2875,65520.64,33600
University of Arkansas at Little Rock,Little Rock,AR,0.8983,7888,20714,0.1111,51732.17,33500
Lyon College,Batesville,AR,0.5912,675,34566,0.3472,48616.43,40500
University of Arkansas,Fayetteville,AR,0.6006,21815,21288,0.3907,52450.53,43100
University of Arkansas at Pine Bluff,Pine Bluff,AR,0.4616,2526,15994,0.0699,42634.24,26700
Arkansas State University-Main Campus,Jonesboro,AR,0.7024,8909,20349,0.2122,42159.88,31700
Arkansas Tech University,Russellville,AR,0.8911,8799,17260,0.2581,43602.11,33000
University of Central Arkansas,Conway,AR,0.9218,9340,19686,0.2299,48705.91,36900
Central Baptist College,Conway,AR,0.4749,777,23292,0.2364,50351.38,33700
Harding University,Searcy,AR,0.992,4450,27205,0.4526,61757.88,38600
Henderson State University,Arkadelphia,AR,0.6334,3096,19037,0.1573,45548.96,34900
Hendrix College,Conway,AR,0.8238,1303,54087,0.6432,63550.03,40600
John Brown University,Siloam Springs,AR,0.7376,1684,35706,0.5475,56884.69,46200
Ouachita Baptist University,Arkadelphia,AR,0.6845,1471,33675,0.5347,61306.22,38400
University of the Ozarks,Clarksville,AR,0.9677,640,35792,0.2566,51329.59,38700
Williams Baptist College,Walnut Ridge,AR,0.6375,490,24697,0.2985,42485.2,32100
Southern Arkansas University Main Campus,Magnolia,AR,0.6748,2859,19970,0.1907,42416.87,34300
University of Arkansas-Fort Smith,Fort Smith,AR,0.5581,5754,13897,0.1138,45327.2,31300
Art Center College of Design,Pasadena,CA,0.7951,1890,59787,0.1983,74131.88,50300
Azusa Pacific University,Azusa,CA,0.809,5883,46441,0.075,73950.46,50500
Biola University,La Mirada,CA,0.6985,4219,47468,0.5187,75484.4,43100
Brooks Institute,Ventura,CA,0.9755,334,32221,0.5217,71989.4,30800
California Baptist University,Riverside,CA,0.6541,6604,41760,0.4376,66849.57,40700
California College of the Arts,San Francisco,CA,0.6854,1491,56984,0.3507,73343.27,34500
California Institute of Technology,Pasadena,CA,0.0881,1001,60990,0.8446,81448.64,74200
California Lutheran University,Thousand Oaks,CA,0.6156,2802,52386,0.6017,81648.78,52800
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,0.3129,19972,24580,0.4016,74683.78,63100
California State University-Bakersfield,Bakersfield,CA,0.6875,8068,16154,0.131,53982.7,46600
California State University-Stanislaus,Turlock,CA,0.7063,8093,16594,0.1554,56979.76,43800
California State University-San Bernardino,San Bernardino,CA,0.6459,17518,16138,0.1347,59070.9,44800
California State Polytechnic University-Pomona,Pomona,CA,0.3931,22034,21709,0.147,68064.96,51100
California State University-Chico,Chico,CA,0.6345,15903,21756,0.2273,61867.44,45600
California State University-Dominguez Hills,Carson,CA,0.5277,12584,13349,0.0617,54533,43600
California State University-Fresno,Fresno,CA,0.5219,21076,16236,0.1554,53295.09,43300
California State University-Fullerton,Fullerton,CA,0.4186,33009,16337,0.1733,73036.4,44500
California State University-East Bay,Hayward,CA,0.7403,12981,19842,0.1281,78750.43,50500
California State University-Long Beach,Long Beach,CA,0.3382,32025,17718,0.1587,66954.9,47100
California State University-Los Angeles,Los Angeles,CA,0.6813,23424,13734,0.0677,52850.08,43900
California State University-Northridge,Northridge,CA,0.456,36979,16793,0.1136,64055.44,43400
California State University-Sacramento,Sacramento,CA,0.6725,27323,17927,0.0664,65686.13,47200
University of California-Berkeley,Berkeley,CA,0.1688,27496,33993,0.7337,77601.85,61800
University of California-Davis,Davis,CA,0.3795,28239,33271,0.5763,76621.08,56300
University of California-Irvine,Irvine,CA,0.3868,25245,30796,0.7179,78085.65,55100
University of California-Los Angeles,Los Angeles,CA,0.1728,29581,32594,0.7365,72896.84,58700
University of California-Riverside,Riverside,CA,0.556,18597,30943,0.475,68292.12,47300
University of California-San Diego,La Jolla,CA,0.3374,26584,30837,0.5831,76397.62,58600
University of California-Santa Barbara,Santa Barbara,CA,0.3264,20606,34496,0.6762,73046.19,52500
University of California-Santa Cruz,Santa Cruz,CA,0.5029,16231,34124,0.5535,78075.09,43700
California Institute of the Arts,Valencia,CA,0.2493,942,62437,0.5125,74875.2,36500
California State University Maritime Academy,Vallejo,CA,0.6617,1072,22023,0.4178,78248.99,79000
Chapman University,Orange,CA,0.4758,6281,61231,0.6514,73437.32,51900
Concordia University-Irvine,Irvine,CA,0.5917,1863,44294,0.5167,79890.85,44300
San Diego Christian College,Santee,CA,0.5173,905,41689,0.1905,66943.92,34900
Claremont McKenna College,Claremont,CA,0.1096,1325,64215,0.773,82855.72,75000
Cogswell College,San Jose,CA,0.6074,630,28780,0.2857,90231.08,54600
Coleman University,San Diego,CA,0.7356,346,31965,0.25,65884.82,42000
Columbia College,Columbia,SC,0.8913,1385,39795,0.4266,53192.16,24800
Columbia College,Columbia,SC,0.8913,1385,39795,0.4266,56190.76,37400
Columbia College,Columbia,SC,0.8913,1385,39795,0.4266,56463.66,33500
